Value;DecoderName
00000000;LS - Lok Sound
00000000;LP - Lok Pilot
00000000;SP - Switch Pilot
00000000;-----------------
0200009B;LS 5 micro
0200003D;LS V4.0
02000047;LS V4.0
0200006A;LS V4.0
0200003C;LS Select
0200004F;LS Select
0200005F;LS Select
02000041;LS micro V4.0
02000078;LS micro V4.0
0200004A;LS Select direct/micro
0200006F;LS Select direct/micro
02000065;LS Select OEM
0200004B;LS XL V4.0
0200006D;LS XL V4.0
02000044;LS V4.0 M4
02000068;LS V4.0 M4
02000059;LS V4.0 M4 OEM
02000073;LS V4.0 M4 OEM
02000070;LS L V4.0
02000079;LS Select L
0100000D;LS V3.5
01000012;LS V3.5
01000017;LS V3.5
01000020;LS V3.5
0100000E;LS XL V3.5
01000014;LS XL V3.5
01000024;LS XL V3.5
0200000E;LS V3.0 M4
02000015;LS V3.0 M4
02000021;LS V3.0 M4
01000019;LS micro V3.5
0100001E;LS micro V3.5
0200003F;LP V4.0
02000042;LP V4.0 DCC
0200005B;LP V4.0 DCC PX
02000040;LP micro V4.0
02000046;LP micro V4.0 DCC
02000043;LP V4.0 M4
02000055;LP XL V4.0
02000056;LP Fx V4.0
0100005C;LP Standard V1.0
0200001C;LP V3.0
02000026;LP V3.0
02000029;LP V3.0
0200001D;LP V3.0 DCC
02000027;LP V3.0 DCC
0200002A;LP V3.0 DCC
0200001F;LP V3.0 M4
02000028;LP V3.0 M4
0200002B;LP V3.0 M4
02000023;LP V3.0 OEM
02000030;LP V3.0 OEM
02000031;LP V3.0 OEM
0200002E;LP micro V3.0
0200002F;LP micro V3.0 DCC
02000033;LP XL V3.0
0200002C;LP Fx V3.0
02000036;LP Fx micro V3.0
02000058;SP V2.0
0200005A;SP Servo V2.0
02000062;Messwagen EHG388
02000076;Messwagen EHG388 M4
01000061;Raucherzeuger (Spur0, G)
02000045;KMI Smoke Unit
01000064;ESU Digital Innenbeleuchtung
