Value;DecoderName
130;MX630 (2020)
133;MX633 (2020)
134;MX634 (2020)
135;MX635
136;MX636
137;MX637
142;MDS442
160;MX660
165;REE_DU65
166;MX600
171;MX671
175;MX675
176;R72016
177;MX617
181;MX618
182;MX682
186;MX605N
187;MX605FL
188;MX605SL
189;MX605
190;MX659
192;MX622 (2020)
193;MX638
195;MX616
196;MXKISS
197;MX617
198;FLM_E69
199;MX600
200;MX82
200;MX82
201;MX620
202;MX62
203;MX63
204;MX64
205;MX64H
206;MX64D
207;MX680
208;MX690
209;MX69
210;MX640
211;MX630-P2520
212;MX632
213;MX631
214;MX642
215;MX643
216;MX647
217;MX646
218;MX630 (2011)
219;MX631 (2011)
220;MX632 (2011)
221;MX645
222;MX644
223;MX621
224;MX695 RevB
225;MX648
226;MX685
227;MX695 RevC
228;MX681
229;MX695N
230;MX696
231;MX696N
232;MX686
233;MX622
234;MX623
235;MX687
236;MX621-FLM
237;MX633
238;MX820 RevA
240;MX634
241;MX686B
242;MX820 RevB
243;MX618
244;Roco NextG
245;MX697 RevA
246;MX658
247;MX688
248;MX821
249;MX648 RevC,D
250;MX699
251;Roco 2067
252;Roco ICE
253;MX649
254;MX697 RevB
